customer_id,customer_name,total_sales,total_profit
WC-30279-82008,William Chen,1181.0,196.0
BM-96677-59909,Becky Morgan,716.0,147.0
JC-85892-36942,Jared Curtis,181.0,49.0
LJ-24833-75571,Lawrence Johns,546.0,161.0
EJ-75765-76120,Elizabeth Jimenez,3337.0,506.0
JT-72762-65120,Jennifer Thomas,1015.0,124.0
LW-16683-95679,Laura Wright,580.0,133.0
AD-50630-81663,Allison Davis,1253.0,256.0
RR-35472-75494,Rebecca Rubio,903.0,243.0
BN-67332-69684,Brenda Nash,3576.0,288.0
DB-19695-48614,David Bradley,694.0,123.0
SH-79209-85874,Sarah Haynes,247.0,21.0
KH-24979-46110,Karen Hopkins,612.0,138.0
CE-22260-85421,Connie Ellis,676.0,135.0
RG-14536-48603,Rebecca Gibson,11808.0,1773.0
LH-20199-39490,Laurie Hicks,704.0,121.0
KW-31996-76756,Katherine Wood,68.0,13.0
MM-85074-56821,Michael Morales,10421.0,1796.0
SD-68682-10447,Sarah Davidson,1091.0,139.0
VB-21643-90178,Vanessa Bowman,2020.0,202.0
JL-60206-99650,James Larson,125.0,17.0
IR-57008-36211,Ian Ramirez,1056.0,160.0
CM-45978-18635,Christopher Miller,664.0,120.0
DB-84530-28242,Derek Bolton,504.0,113.0
NJ-45575-57609,Nancy Jimenez,1340.0,181.0
JS-74290-15125,Jackie Singh,353.0,30.0
GM-16501-12902,George Moss,1178.0,117.0
RJ-87066-83791,Robert Jacobs,537.0,93.0
JJ-54865-35978,Joseph Johnson,1122.0,249.0
TM-72771-57952,Thomas Martin,2189.0,280.0
SR-99136-92519,Stephen Reed,363.0,66.0
GF-20027-46515,Gregory Frazier,230.0,51.0
TB-42883-52200,Tabitha Barton,7806.0,1326.0
DR-25784-29122,Dana Rice,1421.0,263.0
SW-46475-86006,Samuel Williams,608.0,79.0
GH-73024-68226,Grant Harrison,954.0,191.0
ME-23369-48553,Michael Ellis,11014.0,2077.0
CM-83082-56749,Chelsea Castro MD,398.0,61.0
AH-68920-35998,Alyssa Hoffman,430.0,123.0
AC-41754-53788,Amy Camacho,76.0,22.0
RS-69586-77193,Rebecca Simon,459.0,63.0
JC-94387-68192,Jack Cobb,1461.0,290.0
JC-48420-81486,Jennifer Carrillo,433.0,83.0
CC-13224-14968,Charles Cooper,78.0,12.0
MZ-78265-81854,Mark Zhang,97.0,15.0
MW-83747-70520,Molly Warner,602.0,71.0
ST-52096-74464,Sandra Taylor,11189.0,2869.0
JW-65350-62645,Jesus Wilkins,123.0,35.0
TC-72621-19944,Tammy Clark,1136.0,189.0
CC-68951-34968,Christopher Collins,2955.0,741.0
JH-21422-94507,Jesus Hall,276.0,66.0
JA-78297-63842,John Armstrong,34882.0,4949.0
MW-37352-98336,Michelle Warner,7754.0,1383.0
CM-31431-10345,Colleen Moore,789.0,121.0
AH-77091-13553,Ashley Hamilton,615.0,79.0
KS-10802-54104,Kaitlyn Smith,825.0,155.0
KC-56239-74631,Kerri Cameron,1438.0,261.0
CB-26357-46587,Christine Bartlett,973.0,274.0
KA-12321-85020,Kelsey Alvarez,8984.0,1479.0
CB-45650-90192,Caleb Brown,16601.0,2635.0
JJ-16931-77894,Jacqueline Jones,1643.0,312.0
KM-20126-99427,Kara Martin,929.0,155.0
BS-23060-92927,Brenda Smith,307.0,56.0
BT-24261-39125,Brian Taylor,1298.0,284.0
LO-29393-23332,Laurie Owens,1203.0,221.0
RG-48138-89710,Ronald Green,528.0,72.0
PW-85658-10650,Patricia Warren,2532.0,338.0
SW-20036-13149,Sandra Warren,783.0,172.0
AD-13344-67798,April Davis,1578.0,268.0
PT-46002-82453,Patrick Trujillo,7344.0,1082.0
AP-54129-41089,Anthony Peterson,956.0,104.0
MS-43705-46264,Michael Swanson,530.0,121.0
ER-67166-27078,Elizabeth Rice,696.0,93.0
DA-87857-81240,Denise Ayala,582.0,115.0
JR-99049-95900,Jeffrey Reyes,849.0,71.0
BL-20962-25881,Brian Lester,218.0,53.0
RS-42199-97583,Ryan Stafford,849.0,122.0
KL-66794-82308,Katherine Lopez,2110.0,345.0
KW-11220-22007,Kimberly Wood,10479.0,2094.0
MA-86245-26266,Marc Anderson,1334.0,216.0
CM-48967-39335,Charles Miller,1314.0,352.0
SR-28609-11613,Sarah Ramos,705.0,70.0
SL-90559-63116,Shane Lee,400.0,107.0
RH-63985-80864,Robert Hall,1001.0,147.0
PR-86404-10715,Paula Roberts,1725.0,211.0
BS-42336-70146,Bryan Smith,1646.0,230.0
JM-63891-23788,John Martinez,1010.0,217.0
SS-57238-44595,Samuel Sanchez,442.0,126.0
BO-65179-17206,Brent Ortiz,171.0,44.0
WS-28049-29604,William Schneider,1099.0,146.0
KL-12762-58159,Karen Leon,2583.0,375.0
WB-89653-41258,William Brady,1475.0,314.0
EE-48079-66019,Eric Elliott,23442.0,5162.0
SS-42513-72567,Sonia Santiago,816.0,192.0
SE-58472-77500,Sydney Edwards,438.0,97.0
CW-98539-61324,Crystal Wong,370.0,84.0
AF-59845-46026,Ashlee Frank,1118.0,196.0
MO-77849-48130,Mindy Orozco,74.0,22.0
MR-32989-82919,Michael Robinson,177.0,23.0
JW-97772-87535,Joyce Wood,7056.0,1048.0
KS-86851-59818,Kenneth Schaefer,667.0,127.0
AD-83348-84246,Anna Davis,204.0,44.0
MN-17213-95880,Mark Nicholson,12637.0,2514.0
DH-37601-42644,Donna Hughes,8394.0,1814.0
KC-40559-73486,Kerry Chaney,5861.0,1429.0
AC-98541-99908,Amy Clark,2051.0,243.0
ES-39815-39227,Elizabeth Sawyer,571.0,131.0
JL-28162-59581,Jake Lawrence,330.0,25.0
PE-68959-15845,Paula Edwards,1932.0,164.0
MS-13228-23124,Meredith Smith,16130.0,3043.0
SF-16367-89769,Sarah Fox,772.0,198.0
SR-93570-52184,Sylvia Roberts,1195.0,251.0
EF-78609-70552,Eric Fuentes,6241.0,1425.0
GM-60913-81284,Gary Martinez,693.0,114.0
